Input	Generic Wind Power Curve	Generic Onshore Wind Power Curve	Generic Offshore Wind Power Curve	Siemes SWT 36 120	Siemes SWT 60 154	LWST Offshore Wind Power Curve	HWST Offshore Wind Power Curve	NWST Wind Power Curve	HWST Wind Power Curve	LWST Wind Power Curve	NWST Offshore Wind Power Curve	Nordsee One Power Curve	NWST Wind Power Curve PL
15.5	100	100	100	100	99.939988	100	98.2547619	100	98.2547619	100	100	99.99047619	100
15.6	100	100	100	100	99.939988	100	98.43809524	100	98.43809524	100	100	100	100
15.7	100	100	100	100	99.939988	100	98.62142857	100	98.62142857	100	100	100	100
15.8	100	100	100	100	99.939988	100	98.8047619	100	98.8047619	100	100	100	100
15.9	100	100	100	100	99.939988	100	98.98809524	100	98.98809524	100	100	100	100
16	100	100	100	100	100	100	99.17142857	100	99.17142857	100	100	100	100
16.1	100	100	100	100	100	100	99.3547619	100	99.3547619	100	100	100	100
16.2	100	100	100	100	100	100	99.53809524	100	99.53809524	100	100	100	100
16.3	100	100	100	100	100	100	99.72142857	100	99.72142857	100	100	100	100
16.4	100	100	100	100	100	100	99.9047619	100	99.9047619	100	100	100	100
16.5	100	100	100	100	100	100	99.91428571	100	99.91428571	100	100	100	100
16.6	100	100	100	100	100	100	99.92380952	100	99.92380952	100	100	100	100
16.7	100	100	100	100	100	100	99.93333333	100	99.93333333	100	100	100	100
16.8	100	100	100	100	100	100	99.94285714	100	99.94285714	100	100	100	100
16.9	100	100	100	100	100	100	99.95238095	100	99.95238095	100	100	100	100
17	100	100	100	100	99.919984	100	99.96190476	100	99.96190476	100	100	100	100
17.1	100	100	100	100	99.919984	100	99.97142857	100	99.97142857	100	100	100	100
17.2	100	100	100	100	99.919984	100	99.98095238	100	99.98095238	100	100	100	100
17.3	100	100	100	100	99.919984	100	99.99047619	100	99.99047619	100	100	100	100
17.4	100	100	100	100	99.919984	100	100	100	100	100	100	100	100
17.5	100	100	100	100	99.919984	100	100	100	100	100	100	100	100
17.6	100	100	100	100	99.919984	100	100	100	100	100	100	100	100
17.7	100	100	100	100	99.919984	100	100	100	100	100	100	100	100
17.8	100	100	100	100	99.919984	100	100	100	100	100	100	100	100
17.9	100	100	100	100	99.919984	100	100	100	100	100	100	100	100
18	100	100	100	100	99.61992398	0	100	100	100	100	100	100	100
18.1	100	100	100	100	99.61992398	0	100	100	100	100	100	100	100
18.2	100	100	100	100	99.61992398	0	100	100	100	100	100	100	100
18.3	100	100	100	100	99.61992398	0	100	100	100	100	100	100	100
18.4	100	100	100	100	99.61992398	0	100	100	100	100	100	100	100
18.5	100	100	100	100	99.61992398	0	100	100	100	100	100	100	100
18.6	100	100	100	100	99.61992398	0	100	100	100	100	100	100	100
18.7	100	100	100	100	99.61992398	0	100	100	100	100	100	100	100
18.8	100	100	100	100	99.61992398	0	100	100	100	100	100	100	100
18.9	100	100	100	100	99.61992398	0	100	100	100	100	100	100	100
19	100	100	100	100	98.59971994	0	100	100	100	100	100	100	100
19.1	100	100	100	100	98.59971994	0	100	100	100	90	100	100	100
19.2	100	100	100	100	98.59971994	0	100	100	100	80	100	100	100
19.3	100	100	100	100	98.59971994	0	100	100	100	70	100	100	100
19.4	100	100	100	100	98.59971994	0	100	100	100	60	100	100	100
19.5	100	100	100	100	98.59971994	0	100	100	100	50	100	100	100
19.6	100	100	100	100	98.59971994	0	100	100	100	40	100	100	100
19.7	100	100	100	100	98.59971994	0	100	100	100	30	100	100	100
19.8	100	100	100	100	98.59971994	0	100	100	100	20	100	100	100
19.9	100	100	100	100	98.59971994	0	100	100	100	10	100	100	100
20	100	100	100	100	96.67933587	0	100	100	100	0	100	100	100
20.1	100	100	100	100	96.67933587	0	100	100	100	0	100	100	100
20.2	100	100	100	100	96.67933587	0	100	100	100	0	100	100	100
20.3	100	100	100	100	96.67933587	0	100	100	100	0	100	100	100
20.4	100	100	100	100	96.67933587	0	100	100	100	0	100	100	100
20.5	100	100	100	100	96.67933587	0	100	100	100	0	100	100	100
20.6	100	100	100	100	96.67933587	0	100	100	100	0	100	100	100
20.7	100	100	100	100	96.67933587	0	100	100	100	0	100	100	100
20.8	100	100	100	100	96.67933587	0	100	100	100	0	100	100	100
20.9	100	100	100	100	96.67933587	0	100	100	100	0	100	100	100
21	100	100	100	100	93.57871574	0	100	100	100	0	100	100	100
21.1	100	100	100	100	93.57871574	0	100	100	100	0	100	100	100
21.2	100	100	100	100	93.57871574	0	100	100	100	0	100	100	100
21.3	100	100	100	100	93.57871574	0	100	100	100	0	100	100	100
21.4	100	100	100	100	93.57871574	0	100	100	100	0	100	100	100
21.5	100	100	100	100	93.57871574	0	100	100	100	0	100	100	100
21.6	100	100	100	100	93.57871574	0	100	100	100	0	100	100	100
21.7	100	100	100	100	93.57871574	0	100	100	100	0	100	100	100
21.8	100	100	100	100	93.57871574	0	100	100	100	0	100	100	100
21.9	100	100	100	100	93.57871574	0	100	100	100	0	100	100	100
22	100	100	100	100	89.51790358	0	100	100	100	0	100	100	100
22.1	100	100	100	100	89.51790358	0	100	100	100	0	100	100	100
22.2	100	100	100	100	89.51790358	0	100	100	100	0	100	100	100
22.3	100	100	100	100	89.51790358	0	100	100	100	0	100	100	100
22.4	100	100	100	100	89.51790358	0	100	100	100	0	100	100	100
22.5	100	100	100	100	89.51790358	0	100	100	100	0	100	100	100
22.6	100	100	100	100	89.51790358	0	100	100	100	0	100	100	100
22.7	100	100	100	100	89.51790358	0	100	100	100	0	100	100	100
22.8	100	100	100	100	89.51790358	0	100	100	100	0	100	100	100
22.9	100	100	100	100	89.51790358	0	100	100	100	0	100	100	100
23	100	100	100	100	84.9369874	0	100	100	100	0	100	100	100
23.1	100	100	100	100	84.9369874	0	100	100	100	0	100	100	100
23.2	100	100	100	100	84.9369874	0	100	100	100	0	100	100	100
23.3	100	100	100	100	84.9369874	0	100	100	100	0	100	100	100
23.4	100	100	100	100	84.9369874	0	100	100	100	0	100	100	100
23.5	100	100	100	100	84.9369874	0	100	100	100	0	90	100	100
23.6	100	100	100	100	84.9369874	0	100	100	100	0	80	100	100
23.7	100	100	100	100	84.9369874	0	100	100	100	0	70	100	100
23.8	100	100	100	100	84.9369874	0	100	100	100	0	60	100	100
23.9	100	100	100	100	84.9369874	0	100	100	100	0	50	100	100
24	100	100	100	100	80.13602721	0	100	100	100	0	40	100	100
24.1	100	100	100	100	80.13602721	0	100	100	100	0	30	90	90
24.2	100	100	100	100	80.13602721	0	100	100	100	0	20	80	80
24.3	100	100	100	100	80.13602721	0	100	100	100	0	10	70	70
24.4	100	100	100	100	80.13602721	0	100	100	100	0	0	60	60
