Date	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2015-01-28	51665.25	49539.25	48588.75	49101	50392	53222	60419	67045.5	69588.5	69775.75	70104	71483.5	70686	68375.5	66369	67523.25	67354.75	69453	70389	67353.5	64926	60701.25	57463	53018.5
2015-01-29	51655.25	49563.25	48482.75	48558.75	49637.75	52592.75	59358.75	66870.75	69274	69709	70012.25	71193	70579	69442.25	68425.75	67814	67735.75	69769	70485.5	68430.75	64260	61142	58969.25	54284.5
2015-01-30	52813	51294.25	50183.25	50205.75	51624.75	53404	60267.25	67618.75	70134.75	70311.75	70523.25	71489.75	70641.25	67420.25	66802.75	67212.25	66839.25	68362	69096	67507	63839.5	59066.5	57040.75	55190.75
2015-01-31	49379.25	47439.5	46035.75	45660.25	46162.75	46238	47259	50683	54288.75	57504	58874.75	59572.5	58855	57133	55640	53249.75	54765	56785.5	59081.75	55505	51939.75	51917.5	51200	48412.75
2015-02-01	46054.75	42753.75	41614.25	41273	41450.5	41544.75	40961.75	43017.5	46168.5	49531.25	51914.75	54162.75	53678.75	51596	50005.75	49318.75	50212.75	54126.5	55051.5	55956	53447.75	51989.25	52110.5	49465.75
2015-02-02	45012.25	43805.75	42973	43024.5	44583.75	48404	56865.25	63892.75	66805	67466.25	68384	69195.25	68989.25	67589	66657.25	67400.5	66519.75	68581.75	69599.75	68158	64075	60779.5	57104.25	52262.5
2015-02-03	50913.5	48725.5	47514.25	47583.75	48727	51493.75	58339.25	65383	67818	68202.25	68999.5	69899.25	69382.5	68345.75	66801	66840.5	66020	67979	69285.5	68155	64356.75	60883.5	56176.75	52794
2015-02-04	50721	48433	47625	47830.25	48933.25	51661	58381.75	65220.5	67401	68178.25	68551.75	69853.25	69107.25	67852.25	65323.5	66421	65677	67644	69029.5	67531	63361	59766.75	57738.75	53103.25
2015-02-05	51598.25	49397.25	48176	48073.5	49011.25	51745	58707.5	65421.75	67622.5	67949.25	68187.25	69868.75	68892.25	68045	65964.75	66452.5	65769.75	67832.75	69143.5	67628.75	63652.75	60393.75	58304.75	53834
2015-02-06	51697	49819.5	48561.5	48519	49474.25	52238.5	58954	65694	67935.25	68096.75	68575.5	69189.5	68155.75	65707.25	64676.25	64366	63997	66839	67929.5	66477.5	62388.5	58168.5	55846	53245.25
2015-02-07	49922.5	48685	47060	46539.5	45682	45286.75	46065.25	49156.5	52693.25	55628.75	57411	57846.25	57176.5	55039.5	53220.5	50232	51345	54552	57329.75	54850.25	51285	50582.75	50342	48332.25
2015-02-08	46966.75	43635	43168	42604	42333.75	41717.5	40738.25	42714	45643.25	48916.5	51843.75	53943	52973.25	51560.25	50131.5	49440	50189.75	53626.5	54775	55879.5	52938.25	51283.75	51639	49554.75
2015-02-09	44906.25	43803.75	42946.25	42782.75	44182.75	47402.25	54271.5	60444.5	63261.75	64489	65728.5	66563.5	66244.25	64607	63762.25	63817	62827.25	64819.75	66314	65531.25	61379.25	58068	55361.75	50274
2015-02-10	50433.5	48579.25	47539.75	47754.25	49119.75	52424	60048.25	66411.25	68689	69024	69810.25	70918	70297.25	68887	67244	67323.5	66280.75	67833.25	69570	68031.25	63835	60385	56080.75	51535.75
2015-02-11	50957.5	48874.25	47914	48334.75	49422.25	52377	59824	66122.75	68232	68485.25	69159	70112.5	69659.75	68901.75	67738	67035.5	65823.5	67375	69553.5	68420	64687.5	61302.5	58665.5	54647.75
2015-02-12	49829.5	47782.75	46988.5	46249.5	47382.25	50725.75	58140.75	64899.25	66466.5	67333.5	67829	68693	67443.5	67707	65864.5	65604.5	64528.5	66185.25	68527.75	67691.25	63616.75	60000.5	57546.5	53585.25
