Object_Name	Parent_Object
PT Onshore 361 38.0 -7.5 70M Generator HWST	PT Onshore Generators
PT Onshore 361 38.0 -7.5 85M Generator LWST	PT Onshore Generators
PT Onshore 361 38.0 -7.5 85M Generator NWST	PT Onshore Generators
PT Onshore 361 38.0 -7.5 85M Generator HWST	PT Onshore Generators
PT Onshore 361 38.0 -7.5 100M Generator LWST	PT Onshore Generators
PT Onshore 361 38.0 -7.5 100M Generator NWST	PT Onshore Generators
PT Onshore 361 38.0 -7.5 100M Generator HWST	PT Onshore Generators
PT Onshore 626 39.5 -8.75 70M Generator LWST	PT Onshore Generators
PT Onshore 626 39.5 -8.75 70M Generator NWST	PT Onshore Generators
PT Onshore 626 39.5 -8.75 70M Generator HWST	PT Onshore Generators
PT Onshore 626 39.5 -8.75 85M Generator LWST	PT Onshore Generators
PT Onshore 626 39.5 -8.75 85M Generator NWST	PT Onshore Generators
PT Onshore 626 39.5 -8.75 85M Generator HWST	PT Onshore Generators
PT Onshore 626 39.5 -8.75 100M Generator LWST	PT Onshore Generators
PT Onshore 626 39.5 -8.75 100M Generator NWST	PT Onshore Generators
PT Onshore 626 39.5 -8.75 100M Generator HWST	PT Onshore Generators
PT Onshore 805 40.5 -8.125 70M Generator LWST	PT Onshore Generators
PT Onshore 805 40.5 -8.125 70M Generator NWST	PT Onshore Generators
PT Onshore 805 40.5 -8.125 70M Generator HWST	PT Onshore Generators
PT Onshore 805 40.5 -8.125 85M Generator LWST	PT Onshore Generators
PT Onshore 805 40.5 -8.125 85M Generator NWST	PT Onshore Generators
PT Onshore 805 40.5 -8.125 85M Generator HWST	PT Onshore Generators
PT Onshore 805 40.5 -8.125 100M Generator LWST	PT Onshore Generators
PT Onshore 805 40.5 -8.125 100M Generator NWST	PT Onshore Generators
PT Onshore 805 40.5 -8.125 100M Generator HWST	PT Onshore Generators
PT Onshore 895 41.0 -7.5 70M Generator LWST	PT Onshore Generators
PT Onshore 895 41.0 -7.5 70M Generator NWST	PT Onshore Generators
PT Onshore 895 41.0 -7.5 70M Generator HWST	PT Onshore Generators
PT Onshore 895 41.0 -7.5 85M Generator LWST	PT Onshore Generators
PT Onshore 895 41.0 -7.5 85M Generator NWST	PT Onshore Generators
PT Onshore 895 41.0 -7.5 85M Generator HWST	PT Onshore Generators
PT Onshore 895 41.0 -7.5 100M Generator LWST	PT Onshore Generators
PT Onshore 895 41.0 -7.5 100M Generator NWST	PT Onshore Generators
PT Onshore 895 41.0 -7.5 100M Generator HWST	PT Onshore Generators
PT Onshore 983 41.5 -8.125 70M Generator LWST	PT Onshore Generators
PT Onshore 983 41.5 -8.125 70M Generator NWST	PT Onshore Generators
PT Onshore 983 41.5 -8.125 70M Generator HWST	PT Onshore Generators
PT Onshore 983 41.5 -8.125 85M Generator LWST	PT Onshore Generators
PT Onshore 983 41.5 -8.125 85M Generator NWST	PT Onshore Generators
PT Onshore 983 41.5 -8.125 85M Generator HWST	PT Onshore Generators
PT Onshore 983 41.5 -8.125 100M Generator LWST	PT Onshore Generators
PT Onshore 983 41.5 -8.125 100M Generator NWST	PT Onshore Generators
PT Onshore 983 41.5 -8.125 100M Generator HWST	PT Onshore Generators
PT Onshore 984 41.5 -7.5 70M Generator LWST	PT Onshore Generators
PT Onshore 984 41.5 -7.5 70M Generator NWST	PT Onshore Generators
PT Onshore 984 41.5 -7.5 70M Generator HWST	PT Onshore Generators
PT Onshore 984 41.5 -7.5 85M Generator LWST	PT Onshore Generators
PT Onshore 984 41.5 -7.5 85M Generator NWST	PT Onshore Generators
PT Onshore 984 41.5 -7.5 85M Generator HWST	PT Onshore Generators
PT Onshore 984 41.5 -7.5 100M Generator LWST	PT Onshore Generators
PT Onshore 984 41.5 -7.5 100M Generator NWST	PT Onshore Generators
PT Onshore 984 41.5 -7.5 100M Generator HWST	PT Onshore Generators
ca_db_wind	PT Onshore 361 38.0 -7.5 TS
ca_db_wind	PT Onshore 626 39.5 -8.75 TS
ca_db_wind	PT Onshore 805 40.5 -8.125 TS
ca_db_wind	PT Onshore 895 41.0 -7.5 TS
ca_db_wind	PT Onshore 983 41.5 -8.125 TS
ca_db_wind	PT Onshore 984 41.5 -7.5 TS
