Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
PT Onshore 895 41.0 -7.5 100M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 895 41.0 -7.5 100M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 983 41.5 -8.125 70M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 983 41.5 -8.125 70M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 983 41.5 -8.125 70M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 983 41.5 -8.125 85M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 983 41.5 -8.125 85M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 983 41.5 -8.125 85M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 983 41.5 -8.125 100M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 983 41.5 -8.125 100M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 983 41.5 -8.125 100M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 984 41.5 -7.5 70M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 984 41.5 -7.5 70M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 984 41.5 -7.5 70M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 984 41.5 -7.5 85M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 984 41.5 -7.5 85M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 984 41.5 -7.5 85M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 984 41.5 -7.5 100M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 984 41.5 -7.5 100M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 984 41.5 -7.5 100M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
