Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario	1.2
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	61					61			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	62					62			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	63					63			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	64					64			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	65					65			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	66					66			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	67					67			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	68					68			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	69					69			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	70					70			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	71					71			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	72					72			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	73					73			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	74					74			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	75					75			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	76					76			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	77					77			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	78					78			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	79					79			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	80					80			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	81					81			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	82					82			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	83					83			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	84					84			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	85					85			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	86					86			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	87					87			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	88					88			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	89					89			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	90					90			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	91					91			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	92					92			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	93					93			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	94					94			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	95					95			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	96					96			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	97					97			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	98					98			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	99					99			
PT_EL_H2Storage			offer_volume_storage_level_percent	2010-01-01	2100-01-01	100					100			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	331.5745228					1			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	305.5541005					2			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	281.3551079					3			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	258.8500448					4			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	237.920336					5			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	218.455707					6			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	200.3536018					7			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	183.5186441					8			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	167.8621335					9			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	153.3015785					10			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	139.7602624					11			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	127.1668385					12			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	115.4549542					13			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	104.5629018					14			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	94.43329309					15			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	85.01275695					16			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	76.25165838					17			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	68.10383666					18			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	60.52636251					19			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	53.47931153					20			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	46.92555415					21			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	40.83055975					22			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	37.6540046					23			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	35.01822428					24			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	34.83236412					25			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	34.64650396					26			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	34.46064381					27			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	34.27478365					28			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	34.08892349					29			
