Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
PT Availability Liquid			Value	2010-01-01	2100-01-01	0.95			M	4			
PT Availability Liquid			Value	2010-01-01	2100-01-01	0.95			M	5			
PT Availability Liquid			Value	2010-01-01	2100-01-01	0.95			M	6			
PT Availability Liquid			Value	2010-01-01	2100-01-01	0.95			M	7			
PT Availability Liquid			Value	2010-01-01	2100-01-01	0.95			M	8			
PT Availability Liquid			Value	2010-01-01	2100-01-01	0.95			M	9			
PT Availability Liquid			Value	2010-01-01	2100-01-01	0.95			M	10			
PT Availability Liquid			Value	2010-01-01	2100-01-01	0.95			M	11			
PT Availability Liquid			Value	2010-01-01	2100-01-01	0.95			M	12			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	1			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	2			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	3			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	4			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	5			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	6			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	7			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	8			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	9			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	10			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	11			
PT Availability LSFO			Value	2010-01-01	2100-01-01	0.95			M	12			
